HCM_1,THPT Trưng Vương,TP Ho Chi Minh,Quận 1,THUONG
HCM_2,THPT Bùi Thị Xuân,TP Ho Chi Minh,Quận 1,THUONG
HCM_3,THPT Len Lơ Man,TP Ho Chi Minh,Quận 1,THUONG
HCM_4,THPT Năng Khiếu TDTT,TP Ho Chi Minh,Quận 1,THUONG
HCM_5,THPT Lương Thế Vinh,TP Ho Chi Minh,Quận 1,THUONG
HCM_6,THPT Giồng Ông Tố,TP Ho Chi Minh,TP Thủ Đức,THUONG
HCM_7,THPT Thủ Thiêm,TP Ho Chi Minh,TP Thủ Đức,THUONG
HCM_8,THPT Lê Quý Đôn,TP Ho Chi Minh,Quận 3,THUONG
HCM_9,THPT Nguyễn Thị Minh Khai,TP Ho Chi Minh,Quận 3,THUONG
HCM_10,THPT Lê Thị Hồng Gấm,TP Ho Chi Minh,Quận 3,THUONG
HCM_11,THPT Marie Curie,TP Ho Chi Minh,Quận 3,THUONG
HCM_12,THPT Nguyễn Thị Diệu,TP Ho Chi Minh,Quận 3,THUONG
HCM_13,THPT Nguyễn Trãi,TP Ho Chi Minh,Quận 4,THUONG
HCM_14,THPT Nguyễn Hữu Thọ,TP Ho Chi Minh,Quận 4,THUONG
HCM_15,TH Thực Hành Sài Gòn,TP Ho Chi Minh,Quận 5,THUONG
HCM_16,THPT Hùng Vương,TP Ho Chi Minh,Quận 5,THUONG
HCM_17,TH Thực Hành Đại Học Sư Phạm,TP Ho Chi Minh,Quận 5,THUONG
HCM_18,THPT Trần Khai Nguyên,TP Ho Chi Minh,Quận 5,THUONG
HCM_19,THPT Trần Hữu Trang,TP Ho Chi Minh,Quận 5,THUONG
HCM_20,THPT Mạc Đĩnh Chi,TP Ho Chi Minh,Quận 6,THUONG
HCM_21,THPT Bình Phú,TP Ho Chi Minh,Quận 6,THUONG
HCM_22,THPT Nguyễn Tất Thành,TP Ho Chi Minh,Quận 6,THUONG
HCM_23,THPT Phạm Phú Thứ,TP Ho Chi Minh,Quận 6,THUONG
