2015,HCM_110,NV1_CANH,38
2016,HCM_110,NV1_CANH,39.25
2017,HCM_110,NV1_CANH,38
2018,HCM_110,NV1_CANH,36.5
2019,HCM_110,NV1_CANH,35
2020,HCM_110,NV1_CANH,37.75
2021,HCM_110,NV1_CANH,48.1
2022,HCM_110,NV1_CANH,37.25
2015,HCM_110,NV2_CANH,39
2016,HCM_110,NV2_CANH,40.25
2017,HCM_110,NV2_CANH,39
2018,HCM_110,NV2_CANH,37
2019,HCM_110,NV2_CANH,35.25
2020,HCM_110,NV2_CANH,38
2021,HCM_110,NV2_CANH,48.5
2022,HCM_110,NV2_CANH,38
2020,HCM_110,NV1_CDIA,34.75
2021,HCM_110,NV1_CDIA,48.5
2022,HCM_110,NV1_CDIA,33.75
2020,HCM_110,NV2_CDIA,35.75
2021,HCM_110,NV2_CDIA,49
2022,HCM_110,NV2_CDIA,34
2015,HCM_110,NV1_CLY,38.5
2016,HCM_110,NV1_CLY,37.75
2017,HCM_110,NV1_CLY,39.5
2018,HCM_110,NV1_CLY,38
2019,HCM_110,NV1_CLY,34.25
2020,HCM_110,NV1_CLY,30.75
2021,HCM_110,NV1_CLY,48.5
2022,HCM_110,NV1_CLY,31.75
2015,HCM_110,NV2_CLY,39.5
2016,HCM_110,NV2_CLY,38.75
2017,HCM_110,NV2_CLY,40
2018,HCM_110,NV2_CLY,39
2019,HCM_110,NV2_CLY,34.75
2020,HCM_110,NV2_CLY,31
2021,HCM_110,NV2_CLY,49
2022,HCM_110,NV2_CLY,32.5
2016,HCM_110,NV1_CNHA,40
2017,HCM_110,NV1_CNHA,36.5
2018,HCM_110,NV1_CNHA,35.75
2019,HCM_110,NV1_CNHA,32.5
2020,HCM_110,NV1_CNHA,34
2021,HCM_110,NV1_CNHA,38
2022,HCM_110,NV1_CNHA,33.75
2016,HCM_110,NV2_CNHA,41
2017,HCM_110,NV2_CNHA,37
2018,HCM_110,NV2_CNHA,36.5
2019,HCM_110,NV2_CNHA,33
2020,HCM_110,NV2_CNHA,34.75
2021,HCM_110,NV2_CNHA,39
2022,HCM_110,NV2_CNHA,34.5
2020,HCM_110,NV1_CPHA,28.5
2021,HCM_110,NV1_CPHA,37
2022,HCM_110,NV1_CPHA,24.25
2020,HCM_110,NV2_CPHA,29
2021,HCM_110,NV2_CPHA,38
2022,HCM_110,NV2_CPHA,24.75
2015,HCM_110,NV1_CSI,38.75
2016,HCM_110,NV1_CSI,40.75
2017,HCM_110,NV1_CSI,38.75
2018,HCM_110,NV1_CSI,36
2019,HCM_110,NV1_CSI,35.25
2020,HCM_110,NV1_CSI,36.75
2021,HCM_110,NV1_CSI,49.4
