"filename", "language", "HTML", "JSON", "Markdown", "PHP", "YAML", "CSS", "JavaScript", "Python", "comment", "blank", "total"
"c:\xampp\htdocs\search_project\filter_page\assets\css\style.css", "CSS", 0, 0, 0, 0, 0, 389, 0, 0, 0, 88, 477
"c:\xampp\htdocs\search_project\filter_page\assets\css\table.css", "CSS", 0, 0, 0, 0, 0, 74, 0, 0, 1, 16, 91
"c:\xampp\htdocs\search_project\filter_page\average.php", "PHP", 0, 0, 0, 173, 0, 0, 0, 0, 1, 39, 213
"c:\xampp\htdocs\search_project\filter_page\between.php", "PHP", 0, 0, 0, 124, 0, 0, 0, 0, 0, 29, 153
"c:\xampp\htdocs\search_project\filter_page\index.php", "PHP", 0, 0, 0, 332, 0, 0, 0, 0, 0, 55, 387
"c:\xampp\htdocs\search_project\filter_page\js\main.js", "JavaScript", 0, 0, 0, 0, 0, 0, 275, 0, 11, 77, 363
"c:\xampp\htdocs\search_project\filter_page\js\sort.js", "JavaScript", 0, 0, 0, 0, 0, 0, 37, 0, 0, 11, 48
"c:\xampp\htdocs\search_project\filter_page\livesearch.php", "PHP", 0, 0, 0, 122, 0, 0, 0, 0, 2, 34, 158
"c:\xampp\htdocs\search_project\filter_page\top.php", "PHP", 0, 0, 0, 128, 0, 0, 0, 0, 0, 33, 161
"c:\xampp\htdocs\search_project\home_page\assets\css\observer.css", "CSS", 0, 0, 0, 0, 0, 20, 0, 0, 0, 5, 25
"c:\xampp\htdocs\search_project\home_page\assets\css\style.css", "CSS", 0, 0, 0, 0, 0, 414, 0, 0, 21, 90, 525
"c:\xampp\htdocs\search_project\home_page\index.html", "HTML", 198, 0, 0, 0, 0, 0, 0, 0, 5, 15, 218
"c:\xampp\htdocs\search_project\home_page\js\main.js", "JavaScript", 0, 0, 0, 0, 0, 0, 107, 0, 7, 37, 151
"c:\xampp\htdocs\search_project\home_page\js\nav-custom.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 16, 2, 18
"c:\xampp\htdocs\search_project\index.html", "HTML", 15, 0, 0, 0, 0, 0, 0, 0, 0, 2, 17
"c:\xampp\htdocs\search_project\json\exams.json", "JSON", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 7
