"filename", "language", "JSON", "PHP", "HTML", "JavaScript", "Python", "CSS", "Markdown", "SQL", "comment", "blank", "total"
"c:\xampp\htdocs\search_project\printing_page\school_list.php", "PHP", 0, 186, 0, 0, 0, 0, 0, 0, 0, 34, 220
"c:\xampp\htdocs\search_project\printing_page\year_range_search.php", "PHP", 0, 203, 0, 0, 0, 0, 0, 0, 1, 33, 237
"c:\xampp\htdocs\search_project\search_page\assets\css\style.css", "CSS", 0, 0, 0, 0, 0, 122, 0, 0, 6, 34, 162
"c:\xampp\htdocs\search_project\search_page\assets\css\table.css", "CSS", 0, 0, 0, 0, 0, 71, 0, 0, 1, 15, 87
"c:\xampp\htdocs\search_project\search_page\index.php", "PHP", 0, 86, 0, 0, 0, 0, 0, 0, 1, 22, 109
"c:\xampp\htdocs\search_project\search_page\js\main.js", "JavaScript", 0, 0, 0, 20, 0, 0, 0, 0, 9, 15, 44
"c:\xampp\htdocs\search_project\search_page\livesearch.php", "PHP", 0, 79, 0, 0, 0, 0, 0, 0, 1, 23, 103
"c:\xampp\htdocs\search_project\visualization_page\assets\css\calendar.css", "CSS", 0, 0, 0, 0, 0, 214, 0, 0, 1, 43, 258
"c:\xampp\htdocs\search_project\visualization_page\assets\css\style.css", "CSS", 0, 0, 0, 0, 0, 497, 0, 0, 5, 116, 618
"c:\xampp\htdocs\search_project\visualization_page\index.php", "PHP", 0, 337, 0, 0, 0, 0, 0, 0, 15, 68, 420
"c:\xampp\htdocs\search_project\visualization_page\js\calendar.js", "JavaScript", 0, 0, 0, 86, 0, 0, 0, 0, 5, 35, 126
"c:\xampp\htdocs\search_project\visualization_page\js\main.js", "JavaScript", 0, 0, 0, 129, 0, 0, 0, 0, 0, 36, 165
"c:\xampp\htdocs\search_project\visualization_page\links.php", "PHP", 0, 92, 0, 0, 0, 0, 0, 0, 0, 16, 108
"c:\xampp\htdocs\search_project\visualization_page\ratio_firgue.php", "PHP", 0, 76, 0, 0, 0, 0, 0, 0, 0, 24, 100
"c:\xampp\htdocs\search_project\visualization_page\ratio_search.php", "PHP", 0, 69, 0, 0, 0, 0, 0, 0, 0, 14, 83
"c:\xampp\htdocs\search_project\visualization_page\school_comparision.php", "PHP", 0, 116, 0, 0, 0, 0, 0, 0, 0, 15, 131
"c:\xampp\htdocs\search_project\visualization_page\school_list.php", "PHP", 0, 82, 0, 0, 0, 0, 0, 0, 1, 26, 109
"c:\xampp\htdocs\search_project\visualization_page\school_search.php", "PHP", 0, 15, 0, 0, 0, 0, 0, 0, 1, 5, 21
"c:\xampp\htdocs\search_project\visualization_page\year_range_search.php", "PHP", 0, 452, 0, 0, 0, 0, 0, 0, 4, 77, 533
"Total", "-", 13, 3228, 724, 823, 74, 2323, 58, 1779, 438, 1748, 11208
